Employing organisation,Headcount,Full-time equivalent,Type,Victorian Public Service or public entity
Department of Education and Training,4290,3950.9,Department,Victorian Public Service
"Department of Environment, Land, Water and Planning (includes Sustainability Victoria excluding CEO, Solar Victoria and the Office of the Commissioner for Environmental Sustainability)",4895,4650.3,Department,Victorian Public Service
Department of Health and Human Services,8603,7987,Department,Victorian Public Service
"Department of Jobs, Precincts and Regions",2999,2854.1,Department,Victorian Public Service
Department of Justice and Community Safety (includes Victorian Institute of Forensic Medicine non-executive and non-forensic staff),10201,9762.1,Department,Victorian Public Service
Department of Transport,3131,3038.5,Department,Victorian Public Service
Department of Premier and Cabinet,1120,1064.8,Department,Victorian Public Service
Department of Treasury and Finance (includes State Revenue Office and Commission for Better Regulation),1421,1360.3,Department,Victorian Public Service
Bushfire Recovery Victoria,37,36,Administrative office,Victorian Public Service
Family Safety Victoria,268,256.2,Administrative office,Victorian Public Service
Latrobe Valley Authority,38,37.2,Administrative office,Victorian Public Service
Local Government Inspectorate,12,12,Administrative office,Victorian Public Service
Major Transport Infrastructure Authority,2036,1988.2,Administrative office,Victorian Public Service
Mental Health Reform Victoria,8,8,Administrative office,Victorian Public Service
Office of Projects Victoria,23,21.9,Administrative office,Victorian Public Service
Office of the Chief Parliamentary Counsel,48,41.7,Administrative office,Victorian Public Service
Office of the Governor,42,37.9,Administrative office,Victorian Public Service
Office of the Victorian Government Architect,15,13.4,Administrative office,Victorian Public Service
Public Record Office Victoria,69,61,Administrative office,Victorian Public Service
Safer Care Victoria,125,113,Administrative office,Victorian Public Service
Service Victoria,64,63.6,Administrative office,Victorian Public Service
Victorian Agency for Health Information,85,81.7,Administrative office,Victorian Public Service
Victorian Government Solicitor's Office,240,222.3,Administrative office,Victorian Public Service
Suburban Rail Loop Authority,90,89.5,Administrative office,Victorian Public Service
CenITex,488,484.8,Other public service employer,Victorian Public Service
Commercial Passenger Vehicle Commission,106,102.2,Other public service employer,Victorian Public Service
Commission for Children and Young People,79,76.4,Other public service employer,Victorian Public Service
Court Services Victoria,2387,2229.6,Other public service employer,Victorian Public Service
Emergency Services Superannuation Board (excluding CEO),176,167,Other public service employer,Victorian Public Service
Environment Protection Authority (excluding CEO),751,713.3,Other public service employer,Victorian Public Service
Essential Services Commission,138,134.8,Other public service employer,Victorian Public Service
Family Violence Prevention Agency (Respect Victoria),22,20.9,Other public service employer,Victorian Public Service
Game Management Authority (excluding CEO),27,27,Other public service employer,Victorian Public Service
Independent Broad-based Anti-corruption Commission,212,205.6,Other public service employer,Victorian Public Service
Infrastructure Victoria,35,32.3,Other public service employer,Victorian Public Service
Labour Hire Licensing Authority,37,36.4,Other public service employer,Victorian Public Service
Office of Public Prosecutions,397,377.4,Other public service employer,Victorian Public Service
Office of the Legal Services Commissioner,90,84.7,Other public service employer,Victorian Public Service
Office of the Ombudsman Victoria,93,87.4,Other public service employer,Victorian Public Service
Office of the Road Safety Camera Commissioner,2,2,Other public service employer,Victorian Public Service
Office of the Victorian Electoral Commissioner,168,158.9,Other public service employer,Victorian Public Service
Office of the Victorian Information Commissioner,55,51.9,Other public service employer,Victorian Public Service
Portable Long Service Benefits Authority,30,29.5,Other public service employer,Victorian Public Service
Victoria Police (Public service),4106,3883.1,Other public service employer,Victorian Public Service
Victorian Auditor-General's Office,180,173.9,Other public service employer,Victorian Public Service
Victorian Commission for Gambling and Liquor Regulation (excluding CEO),209,201.5,Other public service employer,Victorian Public Service
Victorian Equal Opportunity and Human Rights Commission (excluding Commissioner),51,48.9,Other public service employer,Victorian Public Service
Victorian Fisheries Authority (excluding CEO),167,158.7,Other public service employer,Victorian Public Service
Victorian Inspectorate,16,15.6,Other public service employer,Victorian Public Service
